month,flights_operated,passengers_carried,target_passengers,Month,Flights_Operated,Passengers_Carried,Target_Passengers,year,pct_diff_target
,,,,Jan,1200.0,150000.0,145000.0,2024,3.4482758620689653
,,,,Feb,1100.0,142000.0,140000.0,2023,1.4285714285714286
,,,,Mar,1150.0,148500.0,147000.0,2023,1.0204081632653061
,,,,Apr,1000.0,130000.0,135000.0,2024,-3.7037037037037033
,,,,May,1250.0,155000.0,150000.0,2024,3.3333333333333335
,,,,Jun,1300.0,160000.0,158000.0,2024,1.2658227848101267
,,,,Jul,1120.0,140000.0,142000.0,2024,-1.4084507042253522
,,,,Aug,1180.0,145000.0,148000.0,2023,-2.027027027027027
,,,,Sep,1230.0,150500.0,149000.0,2024,1.006711409395973
,,,,Oct,1100.0,138000.0,140000.0,2024,-1.4285714285714286
,,,,Nov,1090.0,135000.0,136000.0,2023,-0.7352941176470588
,,,,Dec,1200.0,148000.0,147500.0,2024,0.3389830508474576
,,,,Jan,1220.0,152000.0,146000.0,2024,4.10958904109589
,,,,Feb,1110.0,143000.0,140500.0,2023,1.7793594306049825
,,,,Mar,1170.0,149000.0,148000.0,2024,0.6756756756756757
,,,,Apr,1050.0,133000.0,136000.0,2024,-2.2058823529411766
,,,,May,1280.0,157000.0,151000.0,2023,3.9735099337748347
,,,,Jun,1310.0,162000.0,159000.0,2024,1.8867924528301887
,,,,Jul,1150.0,141000.0,143000.0,2023,-1.3986013986013985
,,,,Aug,1200.0,147000.0,149000.0,2024,-1.342281879194631
,,,,Sep,1250.0,152000.0,150000.0,2023,1.3333333333333335
,,,,Oct,1130.0,139000.0,141000.0,2024,-1.4184397163120568
,,,,Nov,1100.0,136000.0,137000.0,2024,-0.7299270072992701
,,,,Dec,1220.0,149000.0,148000.0,2024,0.6756756756756757
,,,,Jan,1250.0,153000.0,147000.0,2024,4.081632653061225
,,,,Feb,1120.0,144000.0,141000.0,2024,2.127659574468085
,,,,Mar,1180.0,150000.0,149000.0,2023,0.6711409395973155
,,,,Apr,1080.0,134000.0,137000.0,2024,-2.18978102189781
,,,,May,1290.0,158000.0,152000.0,2024,3.9473684210526314
,,,,Jun,1330.0,163000.0,160000.0,2024,1.875
,,,,Jul,1170.0,142000.0,144000.0,2023,-1.3888888888888888
,,,,Aug,1220.0,148000.0,150000.0,2024,-1.3333333333333335
,,,,Sep,1260.0,153000.0,151000.0,2023,1.3245033112582782
,,,,Oct,1140.0,140000.0,142000.0,2023,-1.4084507042253522
,,,,Nov,1110.0,137000.0,138000.0,2024,-0.7246376811594203
,,,,Dec,1230.0,150000.0,149000.0,2024,0.6711409395973155
,,,,Jan,1270.0,154000.0,148000.0,2023,4.054054054054054
,,,,Feb,1130.0,145000.0,141500.0,2023,2.4734982332155475
,,,,Mar,1190.0,151000.0,150000.0,2024,0.6666666666666667
,,,,Apr,1100.0,135000.0,138000.0,2023,-2.1739130434782608
,,,,May,1300.0,159000.0,153000.0,2023,3.9215686274509802
,,,,Jun,1340.0,164000.0,161000.0,2023,1.8633540372670807
,,,,Jul,1180.0,143000.0,145000.0,2023,-1.3793103448275863
,,,,Aug,1230.0,149000.0,151000.0,2023,-1.3245033112582782
,,,,Sep,1270.0,154000.0,152000.0,2024,1.3157894736842104
,,,,Oct,1150.0,141000.0,143000.0,2024,-1.3986013986013985
,,,,Nov,1120.0,138000.0,139000.0,2024,-0.7194244604316548
,,,,Dec,1240.0,151000.0,150000.0,2023,0.6666666666666667
